INFO - 2019-08-20 21:03:25,920 - root - logger - Works
INFO - 2019-08-23 16:23:14,194 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path [FreeTutorials.Us] character-art-school-complete-character-drawing is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path Others is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path FDR_Klasik_Font_141016 is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path Videos is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-23 16:23:14,195 - root - logger - Checking if the given path Applications is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path Folders is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path fonts 2 is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path album-d169911435-downloads is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path Documents is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path VID-20190814-WA0051.mp4 is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path [FreeTutorials.Us] Udemy  - character-art-school-complete-coloring-and-painting is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path Adobe Premiere Pro Auto-Save is a valid directory
INFO - 2019-08-23 16:23:14,196 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-23 16:23:14,197 - root - logger - Checking if the given path Frrames MacOS Figma is a valid directory
INFO - 2019-08-23 16:23:14,197 - root - logger - Checking if the given path fonts is a valid directory
INFO - 2019-08-23 16:23:14,197 - root - logger - Checking if the given path Archived is a valid directory
INFO - 2019-08-23 16:23:14,197 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-23 16:23:14,197 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-23 16:23:19,172 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-23 16:23:19,172 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-23 16:23:19,172 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-23 16:23:19,172 - root - logger - Checking if the given path Music is a valid directory
INFO - 2019-08-23 16:23:19,172 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path Torrent Files is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path Images is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-23 16:23:19,173 - root - logger - Checking if the given path [FreeTutorials.Us] character-art-school-complete-character-drawing is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path Others is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path FDR_Klasik_Font_141016 is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-23 16:23:19,174 - root - logger - Checking if the given path Videos is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path Applications is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path Folders is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path fonts 2 is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path album-d169911435-downloads is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path Documents is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path VID-20190814-WA0051.mp4 is a valid directory
INFO - 2019-08-23 16:23:19,175 - root - logger - Checking if the given path [FreeTutorials.Us] Udemy  - character-art-school-complete-coloring-and-painting is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path Adobe Premiere Pro Auto-Save is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path Frrames MacOS Figma is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path fonts is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path Archived is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-23 16:23:19,176 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-23 16:25:35,374 - root - logger - Initialising the cleaner
INFO - 2019-08-23 16:25:35,381 - root - logger - Starting up the observer!!
INFO - 2019-08-23 16:25:47,201 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-23 16:25:47,201 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-23 16:25:47,201 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-23 16:25:47,201 - root - logger - Checking if the given path Music is a valid directory
INFO - 2019-08-24 09:06:29,552 - root - logger - Initialising the cleaner
INFO - 2019-08-24 09:06:29,661 - root - logger - Starting up the observer!!
INFO - 2019-08-24 09:06:51,224 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 09:06:51,224 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 09:06:51,225 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 09:06:51,225 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 09:06:51,225 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 09:06:51,225 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 09:06:51,225 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 09:06:51,226 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 09:06:51,226 - root - logger - Checking if the given path [FreeTutorials.Us] character-art-school-complete-character-drawing is a valid directory
INFO - 2019-08-24 09:12:16,951 - root - logger - Initialising the cleaner
INFO - 2019-08-24 09:12:16,973 - root - logger - Starting up the observer!!
INFO - 2019-08-24 09:12:34,156 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 09:12:34,157 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 09:12:34,157 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 09:12:34,157 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 09:12:34,157 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 09:12:34,157 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path my_avatar copy 2.png is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path [FreeTutorials.Us] character-art-school-complete-character-drawing is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Moving [FreeTutorials.Us] character-art-school-complete-character-drawing to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-24 09:12:34,158 - root - logger - Checking if the given path FDR_Klasik_Font_141016 is a valid directory
INFO - 2019-08-24 09:18:27,795 - root - logger - Initialising the cleaner
INFO - 2019-08-24 09:18:27,820 - root - logger - Starting up the observer!!
INFO - 2019-08-24 09:18:33,587 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 09:18:33,588 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 09:18:33,588 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 09:18:33,588 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 09:18:33,589 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 09:18:33,589 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 09:18:33,589 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 09:18:33,589 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 09:18:33,590 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-24 09:18:33,590 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-24 09:18:33,590 - root - logger - Checking if the given path FDR_Klasik_Font_141016 is a valid directory
INFO - 2019-08-24 09:18:33,591 - root - logger - Moving FDR_Klasik_Font_141016 to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,591 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-24 09:18:33,591 - root - logger - Checking if the given path 30bb9961-7137-47a2-a913-b979203a53c6.mp4 is a valid directory
INFO - 2019-08-24 09:18:33,592 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-24 09:18:33,592 - root - logger - Checking if the given path fonts 2 is a valid directory
INFO - 2019-08-24 09:18:33,593 - root - logger - Moving fonts 2 to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,593 - root - logger - Checking if the given path album-d169911435-downloads is a valid directory
INFO - 2019-08-24 09:18:33,594 - root - logger - Moving album-d169911435-downloads to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,594 - root - logger - Checking if the given path [FreeTutorials.Us] Udemy  - character-art-school-complete-coloring-and-painting is a valid directory
INFO - 2019-08-24 09:18:33,595 - root - logger - Moving [FreeTutorials.Us] Udemy  - character-art-school-complete-coloring-and-painting to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,595 - root - logger - Checking if the given path Adobe Premiere Pro Auto-Save is a valid directory
INFO - 2019-08-24 09:18:33,596 - root - logger - Moving Adobe Premiere Pro Auto-Save to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,596 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-24 09:18:33,596 - root - logger - Checking if the given path Frrames MacOS Figma is a valid directory
INFO - 2019-08-24 09:18:33,597 - root - logger - Moving Frrames MacOS Figma to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,597 - root - logger - Checking if the given path fonts is a valid directory
INFO - 2019-08-24 09:18:33,598 - root - logger - Moving fonts to the /Users/danieleze/Downloads/Folders/August 24, 2019 path
INFO - 2019-08-24 09:18:33,598 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-24 09:18:33,598 - root - logger - Checking if the given path 7f4087f3-bbdb-41c5-8750-1861171cd877.mp4 is a valid directory
INFO - 2019-08-24 09:18:33,598 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-24 09:18:33,621 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 09:18:33,621 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 09:18:33,622 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 09:18:33,622 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 09:18:33,622 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-24 09:18:33,623 - root - logger - Checking if the given path 30bb9961-7137-47a2-a913-b979203a53c6.mp4 is a valid directory
INFO - 2019-08-24 09:18:33,624 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-24 09:18:33,624 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-24 09:18:33,624 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-24 09:18:33,624 - root - logger - Checking if the given path 7f4087f3-bbdb-41c5-8750-1861171cd877.mp4 is a valid directory
INFO - 2019-08-24 09:18:33,625 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-24 09:18:42,031 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 09:18:42,031 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 09:18:42,031 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 09:18:42,031 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 09:18:42,032 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 09:18:42,032 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 09:18:42,032 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 09:18:42,032 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 09:18:42,032 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path 30bb9961-7137-47a2-a913-b979203a53c6.mp4 is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path 7f4087f3-bbdb-41c5-8750-1861171cd877.mp4 is a valid directory
INFO - 2019-08-24 09:18:42,033 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-24 14:02:53,003 - root - logger - Initialising the cleaner
INFO - 2019-08-24 14:02:53,032 - root - logger - Starting up the observer!!
INFO - 2019-08-24 14:03:05,121 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 14:03:05,121 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 14:03:05,122 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 14:03:05,122 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 14:03:05,122 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 14:03:05,123 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
INFO - 2019-08-24 14:03:05,123 - root - logger - Checking if the given path Ant_UX_XD.xd is a valid directory
INFO - 2019-08-24 14:03:05,123 - root - logger - Checking if the given path my_avatar copy 2.png is a valid directory
INFO - 2019-08-24 14:03:05,123 - root - logger - Checking if the given path day6.prproj is a valid directory
INFO - 2019-08-24 14:03:05,123 - root - logger - Checking if the given path Frrames MacOS Figma.zip is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path 1 hour uplifting music.prproj is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path scotch-featured-image-guidelines.ai is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path 30bb9961-7137-47a2-a913-b979203a53c6.mp4 is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path DAy 6.prproj is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path Sparks logo.png is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path ticketboticon.ai is a valid directory
INFO - 2019-08-24 14:03:05,124 - root - logger - Checking if the given path 7f4087f3-bbdb-41c5-8750-1861171cd877.mp4 is a valid directory
INFO - 2019-08-24 14:03:05,125 - root - logger - Checking if the given path Notion-1.0.8.dmg is a valid directory
INFO - 2019-08-24 14:04:35,361 - root - logger - Initialising the cleaner
INFO - 2019-08-24 14:04:35,368 - root - logger - Starting up the observer!!
INFO - 2019-08-24 14:04:39,526 - root - logger - Checking the immediate directories of the . folder
INFO - 2019-08-24 14:04:39,527 - root - logger - Checking if the given path Day 7.prproj is a valid directory
INFO - 2019-08-24 14:04:39,527 - root - logger - Checking if the given path wallpaper 4k 3.jpg is a valid directory
INFO - 2019-08-24 14:04:39,528 - root - logger - Checking if the given path wallpaper 4k 2.jpg is a valid directory
INFO - 2019-08-24 14:04:39,528 - root - logger - Checking if the given path wallpaper 4k 1.jpg is a valid directory
INFO - 2019-08-24 14:04:39,528 - root - logger - Checking if the given path Magnet_Pro_2.4.3_MAS_In-App_[TNT].dmg is a valid directory
